Subject,Item,Status,Manipulability,Actual RT,Accuracy
42,toaster,New,manipulable,836,0
42,Plank48,New,NA,573,1
42,potter3,New,NA,697,1
42,Plank49,Old,NA,535,0
42,dolphin,Old,nonmanipulable,460,1
42,trombone,Old,manipulable,478,1
42,brain,New,nonmanipulable,1020,0
42,potter15,Old,NA,648,0
42,satellite,New,nonmanipulable,1080,1
42,tape,Old,manipulable,587,1
42,stoplight,Old,nonmanipulable,599,1
42,Laine-MAALITSA,Old,NA,1275,1
42,Laine-LISTIN,New,NA,1031,1
42,Laine-kosseli,Old,NA,815,0
42,mammoth,New,nonmanipulable,664,1
42,platypus,Old,nonmanipulable,518,1
42,Laine-pynna,Old,NA,900,0
42,compass,New,manipulable,772,1
42,potter4,New,NA,1293,1
42,Plank50,Old,NA,774,0
42,hose,Old,manipulable,624,1
42,barbell,Old,manipulable,648,1
42,Laine-HAAHLA,New,NA,1592,1
42,seaturtle,New,nonmanipulable,1050,1
42,plank108,New,NA,900,1
42,lighthouse,Old,nonmanipulable,3151,1
42,Laine-liippa,New,NA,798,1
42,plant,Old,nonmanipulable,759,1
42,Laine-pintta,New,NA,946,1
42,strainer,Old,manipulable,529,1
42,colander,New,manipulable,677,0
42,Eals10,Old,NA,1250,1
42,Eals29,Old,NA,756,0
42,potter29,New,NA,894,1
42,vacuum,Old,manipulable,901,1
42,Eals32,New,NA,895,1
42,potter1,New,NA,630,1
42,shark,Old,nonmanipulable,497,1
42,potter27,New,NA,600,1
42,saturn,Old,nonmanipulable,746,1
42,mug,New,manipulable,741,1
42,Laine-vemmel,New,NA,700,1
42,Laine-PALIN,Old,NA,626,1
42,cane,New,manipulable,698,1
43,tepee,Old,nonmanipulable,581,1
43,potter24,New,NA,545,1
43,Laine-LUISTI,New,NA,700,1
43,bellows,New,manipulable,577,1
43,potter9,Old,NA,663,0
43,legos,Old,manipulable,487,1
43,heater,New,nonmanipulable,663,1
43,Laine-RIITMOTT,Old,NA,646,1
43,mouse,New,manipulable,666,1
43,Eals23,Old,NA,713,1
43,whisk,New,manipulable,527,1
43,razor,New,manipulable,669,1
43,Plank17,Old,NA,740,1
43,chimney,Old,nonmanipulable,668,1
43,Eals14,New,NA,730,1
43,sloth,Old,nonmanipulable,674,1
43,stamp,New,manipulable,670,1
43,battery,New,manipulable,678,1
43,Laine-HOYLA,New,NA,782,1
43,Eals08,Old,NA,604,1
43,whale,New,nonmanipulable,621,1
43,Eals12,New,NA,750,1
43,potter12,Old,NA,653,0
43,potter16,New,NA,846,1
43,needle,Old,manipulable,581,1
43,frisbee,New,manipulable,609,1
43,moose,New,nonmanipulable,555,1
43,kirk1,Old,NA,655,1
43,Eals19,New,NA,759,1
43,Plank45,New,NA,628,1
43,drawer,New,nonmanipulable,686,1
43,Laine-ROVE,Old,NA,596,0
43,potter11,New,NA,597,1
43,headphones,Old,manipulable,554,1
43,ruler,Old,manipulable,614,1
43,Laine-AMPUUSI,New,NA,521,1
43,potter17,Old,NA,678,1
43,battleship,Old,nonmanipulable,561,1
43,Plank25,New,NA,646,1
43,Plank36,New,NA,532,1
43,Eals22,Old,NA,628,1
43,jellyfish,New,nonmanipulable,635,1
43,Plank4,Old,NA,831,1
43,yo-yo,Old,manipulable,683,1
43,ladybug,Old,nonmanipulable,568,1
43,Eals26,New,NA,551,1
43,crab,Old,nonmanipulable,500,0
43,potter22,Old,NA,1148,1
43,Laine-JYRSIN,Old,NA,636,0
43,bucket,New,manipulable,740,1
43,Plank5,Old,NA,1065,0
43,fountain,New,nonmanipulable,717,1
43,cymbals,New,manipulable,608,1
43,watering-can,Old,manipulable,534,1
43,Plank11,New,NA,608,1
43,starfish,New,nonmanipulable,538,1
43,Laine-karttu,Old,NA,618,1
43,ram,New,nonmanipulable,517,1
43,Plank37,New,NA,609,1
43,potter7,Old,NA,542,0
43,Plank13,Old,NA,764,0
43,hamster,Old,nonmanipulable,790,0
43,pitcher,New,manipulable,660,1
43,teapot,Old,manipulable,668,0
43,potter26,Old,NA,759,0
43,Plank3,Old,NA,947,1
43,Laine-tuura,New,NA,808,1
43,matches,Old,manipulable,670,1
43,potter14,New,NA,602,1
43,hippopotamus,Old,nonmanipulable,687,1
43,potter6,New,NA,717,1
43,frog,New,nonmanipulable,691,1
43,floss,Old,manipulable,785,1
43,firetruck,New,nonmanipulable,692,1
43,Laine-NORHA,Old,NA,764,1
43,camcorder,Old,manipulable,903,1
43,weasel,New,nonmanipulable,719,1
43,Laine-KALKKU,Old,NA,732,0
43,potter8,Old,NA,765,0
43,Laine-LAVISTIN,New,NA,737,1
43,tank,New,nonmanipulable,870,0
